,Crisis,Crisis ID,Country,Indicator,Figure,Source and Date,Reliability,Reliability Score,Link,Justification,Helper,Date of entry,Type of entry
3661,International Refugees in Malaysia,MYS001,Malaysia,Moderate humanitarian conditions - Level 3,191830,UNHCR accessed 21/10/2024,Medium ,2,https://www.unhcr.org/my/what-we-do/figures-glance-malaysia,"Level 3, is all those seeking asylum and registered as a refugee in Malaysia. Due to information gaps, it is unclear whether those in need are facing different levels of severity. ",MYS001Moderate humanitarian conditions - Level 3,2024-10-22,Change in the data/methodology
3662,Food Security Crisis in Timor-Leste,TLS003,Timor Leste,Total population,1340433,IPC 29/02/2024,High,1,https://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/docs/IPC_Timor_Leste_Acute_Food_Insecurity_Nov2023_Sept2024_Report.pdf,It is the total population of the country. The figure is obtained from IPC report (November 2023 – September 2024).,TLS003Total population,2024-10-22,Humanitarian development
3663,Food Security Crisis in Timor-Leste,TLS003,Timor Leste,Landmass affected,14950,City Population accessed 21/04/2024; IPC 29/02/2024,High,1,https://www.citypopulation.de/en/timor/cities/;  https://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/docs/IPC_Timor_Leste_Acute_Food_Insecurity_Nov2023_Sept2024_Report.pdf,The entire country is affected by food insecurity as per the IPC report (November 2023 – September 2024). It is also worth mentioning that all the districts have people facing IPC Phase 3+ acute food insecurity.,TLS003Landmass affected,2024-10-22,Humanitarian development
3664,Food Security Crisis in Timor-Leste,TLS003,Timor Leste,People exposed,1340433,IPC 29/02/2024,High,1,https://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/docs/IPC_Timor_Leste_Acute_Food_Insecurity_Nov2023_Sept2024_Report.pdf,"The total population of the country is exposed as all the districts are affected by food insecurity as per the IPC report (November 2023 – September 2024).
The number of people exposed includes the total population of the country.  This figure is taken from the IPC report (November 2023 - September 2024) since it is the most up-to-date source. 

The reliability of this figure is set as High as the figure is derived from the IPC report (considered as a reliable source) that provides projections until September 2024, and as it is highly unlikely that the number of people exposed has declined, given the food insecurity situation.",TLS003People exposed,2024-10-22,Change in the data/methodology
3665,Food Security Crisis in Timor-Leste,TLS003,Timor Leste,People affected,857795,IPC 29/02/2024,High,1,https://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/docs/IPC_Timor_Leste_Acute_Food_Insecurity_Nov2023_Sept2024_Report.pdf,"The number of people affected corresponds to the people in Level 2 humanitarian conditions or higher (equivalent acute food insecurity Phase 2 or higher). The figure is taken from  IPC report (November 2023 – September 2024). 

The reliability of this figure is set as High as the figure is derived from the IPC report (considered as a reliable source) that provides projections until September 2024, and as it is highly unlikely that the affected population has changed significantly in less than a month, given the food insecurity situation.",TLS003People affected,2024-10-22,Change in the data/methodology
3666,Food Security Crisis in Timor-Leste,TLS003,Timor Leste,People displaced,0,IPC 29/02/2024,High,1,https://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/docs/IPC_Timor_Leste_Acute_Food_Insecurity_Nov2023_Sept2024_Report.pdf,No displacement has occurred in the food security crisis.,TLS003People displaced,2024-10-22,Humanitarian development
3667,Food Security Crisis in Timor-Leste,TLS003,Timor Leste,Injuries reported,0,IPC 29/02/2024,High,1,https://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/docs/IPC_Timor_Leste_Acute_Food_Insecurity_Nov2023_Sept2024_Report.pdf,It is the total number of crisis-related injuries in the last 6 months. No injuries reported for this crisis.,TLS003Injuries reported,2024-10-22,Humanitarian development
3668,Food Security Crisis in Timor-Leste,TLS003,Timor Leste,Fatalities reported,0,IPC 29/02/2024,High,1,https://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/docs/IPC_Timor_Leste_Acute_Food_Insecurity_Nov2023_Sept2024_Report.pdf,"Total number of crisis-related fatalities in the last 6 months. Six months previous to the month the severity index (SI) is calculated are considered. For example, for the January 2023 version of SI, months considered will be July 2022 to December 2022.",TLS003Fatalities reported,2024-10-22,Humanitarian development
3669,Food Security Crisis in Timor-Leste,TLS003,Timor Leste,Fatalities in all crises,0,IPC 29/02/2024,High,1,https://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/docs/IPC_Timor_Leste_Acute_Food_Insecurity_Nov2023_Sept2024_Report.pdf,"Number of fatalities in all crises in the last 6 months.  Six months previous to the month the severity index (SI) is calculated are considered. For example, for the January 2023 version of SI, months considered will be July 2022 to December 2022.",TLS003Fatalities in all crises,2024-10-22,Humanitarian development
3670,Food Security Crisis in Timor-Leste,TLS003,Timor Leste,People in Need,363997,IPC 29/02/2024,High,1,https://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/docs/IPC_Timor_Leste_Acute_Food_Insecurity_Nov2023_Sept2024_Report.pdf,"The number of people in need includes the total people in IPC Phase 3 and above as reported by the IPC analysis report published in February 2024. This source has been chosen because food is the main reported need and due to the lack of an alternative comprehensive source. 


The reliability of this figure is set as High as the figure is derived from the IPC report (considered as a reliable source) that provides projections until September 2024, and as it is highly unlikely that the number of people in need has changed significantly in less than a month, given the food insecurity situation.",TLS003People in Need,2024-10-22,Change in the data/methodology
3671,Food Security Crisis in Timor-Leste,TLS003,Timor Leste,Minimal humanitarian conditions - Level 1,482638,IPC 29/02/2024,High,1,https://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/docs/IPC_Timor_Leste_Acute_Food_Insecurity_Nov2023_Sept2024_Report.pdf,"The number of people in  Level 1 corresponds to the number of people facing acute food insecurity of IPC phase 3 (May 2024 - September 2024). This source was chosen because food is the primary need related to this crisis. 

The reliability of this figure is set as High as the figure is derived from the IPC report (considered as a reliable source) that provides projections until September 2024, and as it is highly unlikely that the figure has changed significantly in less than a month, given the food insecurity situation.",TLS003Minimal humanitarian conditions - Level 1,2024-10-22,Change in the data/methodology
3672,Food Security Crisis in Timor-Leste,TLS003,Timor Leste,Stressed humanitarian conditions - Level 2,493798,IPC 29/02/2024,High,1,https://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/docs/IPC_Timor_Leste_Acute_Food_Insecurity_Nov2023_Sept2024_Report.pdf,"The number of people in  Level 2 corresponds to the number of people facing acute food insecurity of IPC phase 3 (May 2024 - September 2024). This source was chosen because food is the primary need related to this crisis. 

The reliability of this figure is set as High as the figure is derived from the IPC report (considered as a reliable source) that provides projections until September 2024, and as it is highly unlikely that the figure has changed significantly in less than a month, given the food insecurity situation.",TLS003Stressed humanitarian conditions - Level 2,2024-10-22,Change in the data/methodology
3673,Food Security Crisis in Timor-Leste,TLS003,Timor Leste,Moderate humanitarian conditions - Level 3,341719,IPC 29/02/2024,High,1,https://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/docs/IPC_Timor_Leste_Acute_Food_Insecurity_Nov2023_Sept2024_Report.pdf,"The number of people in  Level 3 corresponds to the number of people facing acute food insecurity of IPC phase 3 (May 2024 - September 2024). This source was chosen because food is the primary need related to this crisis.

The reliability of this figure is set as High as the figure is derived from the IPC report (considered as a reliable source) that provides projections until September 2024, and as it is highly unlikely that the figure has changed significantly in less than a month, given the food insecurity situation.",TLS003Moderate humanitarian conditions - Level 3,2024-10-22,Change in the data/methodology
3674,Food Security Crisis in Timor-Leste,TLS003,Timor Leste,Severe humanitarian conditions - Level 4,22278,IPC 29/02/2024,High,1,https://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/docs/IPC_Timor_Leste_Acute_Food_Insecurity_Nov2023_Sept2024_Report.pdf,"The number of people in  Level 4 corresponds to the number of people facing acute food insecurity of IPC phase 3 (May 2024 - September 2024). This source was chosen because food is the primary need related to this crisis. 

The reliability of this figure is set as High as the figure is derived from the IPC report (considered as a reliable source) that provides projections until September 2024, and as it is highly unlikely that the figure has changed significantly in less than a month, given the food insecurity situation.",TLS003Severe humanitarian conditions - Level 4,2024-10-22,Change in the data/methodology
3675,Food Security Crisis in Timor-Leste,TLS003,Timor Leste,Extreme humanitarian conditions - Level 5,0,IPC 29/02/2024,High,1,https://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/docs/IPC_Timor_Leste_Acute_Food_Insecurity_Nov2023_Sept2024_Report.pdf,"The number of people in  Level 5 corresponds to the number of people facing acute food insecurity of IPC phase 3 (May 2024 - September 2024). This source was chosen because food is the primary need related to this crisis.

The reliability of this figure is set as High as the figure is derived from the IPC report (considered as a reliable source) that provides projections until September 2024, and as it is highly unlikely that the figure has changed significantly in less than a month, given the food insecurity situation.",TLS003Extreme humanitarian conditions - Level 5,2024-10-22,Change in the data/methodology
3676,Food Security Crisis in Timor-Leste,TLS003,Timor Leste,Crisis affected groups,1,IPC 29/02/2024,High,1,https://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/docs/IPC_Timor_Leste_Acute_Food_Insecurity_Nov2023_Sept2024_Report.pdf,"In this crisis, only the non-host population group is affected.",TLS003Crisis affected groups,2024-10-22,Humanitarian development
3677,Typhoon Yagi in Vietnam,VNM003,Vietnam,Injuries reported,1976,IFRC 11/10/2024,Medium ,2,https://reliefweb.int/report/viet-nam/viet-nam-asia-pacific-typhoon-yagi-operation-update-1-mdrvn024,Total number of crisis-related injuries in the last 6 months.,VNM003Injuries reported,2024-10-22,Change in the data/methodology
3678,Typhoon Yagi in Vietnam,VNM003,Vietnam,Fatalities reported,318,IFRC 11/10/2024,Medium ,2,https://reliefweb.int/report/viet-nam/viet-nam-asia-pacific-typhoon-yagi-operation-update-1-mdrvn024,Total number of crisis-related fatalities in the last 6 months.,VNM003Fatalities reported,2024-10-22,Change in the data/methodology
3679,Typhoon Yagi in Vietnam,VNM003,Vietnam,Fatalities in all crises,318,IFRC 11/10/2024,Medium ,2,https://reliefweb.int/report/viet-nam/viet-nam-asia-pacific-typhoon-yagi-operation-update-1-mdrvn024,Total number of fatalities in all crises in the last 6 months.,VNM003Fatalities in all crises,2024-10-22,Change in the data/methodology
3680,Typhoon Yagi in Vietnam,VNM003,Vietnam,Buildings damaged,282000,OCHA 27/09/2024; IFRC 11/10/2024,Medium ,2,"https://reliefweb.int/report/viet-nam/viet-nam-joint-response-plan-typhoon-yagi-and-floods-september-2024-june-2025-issued-27-september-2024

https://reliefweb.int/report/viet-nam/viet-nam-asia-pacific-typhoon-yagi-operation-update-1-mdrvn024","As per the IFRC, around 282,000 homes have been reported to be damaged or destroyed as a result of typhoon Yagi and subsequent rains and landslides.",VNM003Buildings damaged,2024-10-22,Change in the data/methodology
3681,Typhoon Yagi in Vietnam,VNM003,Vietnam,Buildings destroyed,x,OCHA 27/09/2024; IFRC 11/10/2024,Medium ,2,"https://reliefweb.int/report/viet-nam/viet-nam-joint-response-plan-typhoon-yagi-and-floods-september-2024-june-2025-issued-27-september-2024

https://reliefweb.int/report/viet-nam/viet-nam-asia-pacific-typhoon-yagi-operation-update-1-mdrvn024",No data/information available for destoyed houses yet. A figure is expected from future assessments.,VNM003Buildings destroyed,2024-10-22,Change in the data/methodology
3682,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,Total population,11781559,NSO accessed 12/08/2024,High,1,https://www.nso.gov.pg/statistics/population/,Total population living in Papua New Guinea,PNG001Total population,2024-10-22,Humanitarian development
3683,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,Landmass affected,124455,NSO accessed 07/12/2023; NSO 2011; UNCT PNG 15/09/22; IFRC 04/09/22 UNCT PNG 10/10/22; UNDP 01/08/2024; OCHA 04/04/2023,Medium ,2,"https://www.nso.gov.pg/statistics/population/;  

https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-disaster-management-team-flash-update-no-06-7-october-2022; 

https://www.nso.gov.pg/download/77/nso-digital-library/2248/png-national-report-2011-census-2.pdf; 

https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-civil-unrest-emergency-plan-action-epoa-dref-operation-no-mdrpg011; 

https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-humanitarian-needs-and-priorities-aug-2022-may-2023-issued-09-aug-2022; 

https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024; 

https://data.humdata.org/dataset/f260301d-c32f-4e9e-a7d6-05bde2f70b6b/resource/e608cdc2-c26b-46c2-b223-ec50150e9952/download/png_adminboundaries_tabulardata.xlsx",Total area affected in the Highlands violence and floods crises (PNG003 and PNG005).,PNG001Landmass affected,2024-10-22,Humanitarian development
3684,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,People exposed,4711067,"NSO accessed 07/12/2023; NSO 2011; UNCT PNG 15/09/22; IFRC 04/09/22, UNCT PNG 10/10/22; UNDP 01/08/2024; NSO accessed 12/08/2024",Medium ,2,"https://www.nso.gov.pg/statistics/population/; 

https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-disaster-management-team-flash-update-no-06-7-october-2022; 

https://www.nso.gov.pg/download/77/nso-digital-library/2248/png-national-report-2011-census-2.pdf; 

https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-civil-unrest-emergency-plan-action-epoa-dref-operation-no-mdrpg011; 

https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-humanitarian-needs-and-priorities-aug-2022-may-2023-issued-09-aug-2022; 

https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024; 

https://www.nso.gov.pg/download/118/population-estimates-2021/3740/01_western_population_estimate_results.pdf",Total exposed population in the Highlands violence and floods crises (PNG003 and PNG005).,PNG001People exposed,2024-10-22,Humanitarian development
3685,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,People affected,319938,UNCT PNG 09/08/22; UNDP 01/08/2024,Medium ,2,"https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-humanitarian-needs-and-priorities-aug-2022-may-2023-issued-09-aug-2022; 

https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024",Total number of people affected in the Highlands violence and floods crises (PNG003 and PNG005).,PNG001People affected,2024-10-22,Humanitarian development
3686,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,People displaced,26984,IOM 20/03/2024; UNDP 01/08/2024,Low,3,"https://dtm.iom.int/reports/papua-new-guinea-wapenamanda-conflict-rapid-assessment-report-20-march-2024; 

https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024",Total number of displaced people in the Highlands violence and floods crises (PNG003 and PNG005).,PNG001People displaced,2024-10-22,Humanitarian development
3687,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,Injuries reported,2,UNDP 01/08/2024,x,x,https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024,Total number of injuries in the in the Highlands violence and floods crises (PNG003 and PNG005).,PNG001Injuries reported,2024-10-22,Humanitarian development
3688,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,Fatalities reported,52,ACLED accessed 21/10/2024; UNDP 01/08/2024,Medium ,2,"https://acleddata.com/data-export-tool/; 

https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024",Total number of fatalities in the in the Highlands violence and floods crises (PNG003 and PNG005).,PNG001Fatalities reported,2024-10-22,Change in the data/methodology
3689,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,Fatalities in all crises,52,ACLED accessed 21/10/2024; UNDP 01/08/2024,Medium ,2,"https://acleddata.com/data-export-tool/; 

https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024",Total number of fatalities in the in the Highlands violence and floods crises (PNG003 and PNG005).,PNG001Fatalities in all crises,2024-10-22,Change in the data/methodology
3690,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,People in Need,59179,UNCT PNG 10/10/22; IOM 19/12/22; IOM 20/03/2024; UNDP 01/08/2024,Low,3,"https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-humanitarian-needs-and-priorities-aug-2022-may-2023-issued-09-aug-2022

https://dtm.iom.int/reports/papua-new-guinea-rapid-assesment-report-displacements-highlands-region-oct-nov-2022?close=true

https://dtm.iom.int/reports/papua-new-guinea-wapenamanda-conflict-rapid-assessment-report-20-march-2024; 

https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024",Total number of people in need in the in the Highlands violence and floods crises (PNG003 and PNG005).,PNG001People in Need,2024-10-22,Change in the data/methodology
3691,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,Minimal humanitarian conditions - Level 1,4391129,"NSO accessed 07/12/2023; NSO 2011; UNCT PNG 15/09/22; IFRC 04/09/22, UNCT PNG 10/10/22;  IOM 19/12/22; UNDP 01/08/2024; NSO accessed 12/08/2024",Medium ,2,"https://www.nso.gov.pg/statistics/population/ ;

https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-disaster-management-team-flash-update-no-06-7-october-2022;

https://www.nso.gov.pg/download/77/nso-digital-library/2248/png-national-report-2011-census-2.pdf;

https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-civil-unrest-emergency-plan-action-epoa-dref-operation-no-mdrpg011;

https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-humanitarian-needs-and-priorities-aug-2022-may-2023-issued-09-aug-2022;

https://dtm.iom.int/reports/papua-new-guinea-rapid-assesment-report-displacements-highlands-region-oct-nov-2022?close=true; 

https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024; 

https://www.nso.gov.pg/download/118/population-estimates-2021/3740/01_western_population_estimate_results.pdf",Total number of people in level 1 in the Highlands violence and floods crises (PNG003 and PNG005).,PNG001Minimal humanitarian conditions - Level 1,2024-10-22,Change in the data/methodology
3692,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,Stressed humanitarian conditions - Level 2,260759,UNCT PNG 09/08/22;UNCT PNG 10/10/22; IOM 19/12/22; IOM 20/03/2024; UNDP 01/08/2024,Low,3,"https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-humanitarian-needs-and-priorities-aug-2022-may-2023-issued-09-aug-2022

https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-humanitarian-needs-and-priorities-aug-2022-may-2023-issued-09-aug-2022

https://dtm.iom.int/reports/papua-new-guinea-rapid-assesment-report-displacements-highlands-region-oct-nov-2022?close=true

https://dtm.iom.int/reports/papua-new-guinea-wapenamanda-conflict-rapid-assessment-report-20-march-2024; 

https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024",Total number of people in level 2 in the Highlands violence and floods crises (PNG003 and PNG005).,PNG001Stressed humanitarian conditions - Level 2,2024-10-22,Change in the data/methodology
3693,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,Moderate humanitarian conditions - Level 3,59179,UNCT PNG 10/10/22; IOM 19/12/22; IOM 20/03/2024; UNDP 01/08/2024,Low,3,"https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-humanitarian-needs-and-priorities-aug-2022-may-2023-issued-09-aug-2022

https://dtm.iom.int/reports/papua-new-guinea-rapid-assesment-report-displacements-highlands-region-oct-nov-2022?close=true

https://dtm.iom.int/reports/papua-new-guinea-wapenamanda-conflict-rapid-assessment-report-20-march-2024; 

https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024",Total number of people in level 3 in the Highlands violence and floods crises (PNG003 and PNG005).,PNG001Moderate humanitarian conditions - Level 3,2024-10-22,Change in the data/methodology
3694,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,Severe humanitarian conditions - Level 4,x,x,x,x,x, Not enough information available to assign people to level 4 and level 5.,PNG001Severe humanitarian conditions - Level 4,2024-10-22,Humanitarian development
3695,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,Extreme humanitarian conditions - Level 5,x,x,x,x,x, Not enough information available to assign people to level 4 and level 5.,PNG001Extreme humanitarian conditions - Level 5,2024-10-22,Humanitarian development
3696,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,Crisis affected groups,4,UNCT PNG 09/08/22 ; UNDP 01/08/2024,High,1,"https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-humanitarian-needs-and-priorities-aug-2022-may-2023-issued-09-aug-2022; 

https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024","Host, non-host, returnees, and IDPs are the groups affected in the Highlands violence and floods crises (PNG003 and PNG005).",PNG001Crisis affected groups,2024-10-22,Humanitarian development
3697,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,People facing limited access constraints,x,x,x,x,x,There is no data on people facing access constraints,PNG001People facing limited access constraints,2024-10-22,Humanitarian development
3698,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,People facing restricted access constraints,x,x,x,x,x,There is no data on people facing access constraints,PNG001People facing restricted access constraints,2024-10-22,Humanitarian development
3699,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,Illness cases reported,x,x,x,x,x,Limited data/information available ,PNG001Illness cases reported,2024-10-22,Humanitarian development
3700,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,Buildings damaged,1387,UNDP 01/08/2024,Low,3,https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024,"The UNDP assessment recommended the provision of targeted temporary shelter assistance for an estimated 1,387 households. From this information, it is estimated that 1,387 houses may have been damaged.",PNG001Buildings damaged,2024-10-22,Humanitarian development
3701,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,Buildings destroyed,x,x,x,x,x,Limited data/information available ,PNG001Buildings destroyed,2024-10-22,Humanitarian development
3702,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,Buildings in affected area,x,x,x,x,x,Limited data/information available ,PNG001Buildings in affected area,2024-10-22,Humanitarian development
3703,Multiple crises in Papua New Guinea,PNG001,Papua New Guinea,Economic Losses,x,x,x,x,x,Limited data/information available ,PNG001Economic Losses,2024-10-22,Humanitarian development
3704,Highlands Violence,PNG003,Papua New Guinea,Total population,11781559,NSO accessed 12/08/2024 ,High,1,https://www.nso.gov.pg/statistics/population/,Total population living in Papua New Guinea,PNG003Total population,2024-10-22,Humanitarian development
3705,Highlands Violence,PNG003,Papua New Guinea,Landmass affected,63679,NSO accessed 07/12/2023; NSO 2011; UNCT PNG 15/09/22; IFRC 04/09/22 UNCT PNG 10/10/22,Medium ,2,"https://www.nso.gov.pg/statistics/population/;  

https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-disaster-management-team-flash-update-no-06-7-october-2022; 

https://www.nso.gov.pg/download/77/nso-digital-library/2248/png-national-report-2011-census-2.pdf; 

https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-civil-unrest-emergency-plan-action-epoa-dref-operation-no-mdrpg011; 

https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-humanitarian-needs-and-priorities-aug-2022-may-2023-issued-09-aug-2022","Provinces affected:
Enga Province
Hela Province
Southern Highlands Province
Jiwaka Province
Chimbu Province
Eastern and Western Highlands
The affected provinces have been identified from HNP and Emergency Plan of Action of the IFRC.",PNG003Landmass affected,2024-10-22,Humanitarian development
3706,Highlands Violence,PNG003,Papua New Guinea,People exposed,4566398,"NSO accessed 07/12/2023; NSO 2011; UNCT PNG 15/09/22; IFRC 04/09/22, UNCT PNG 10/10/22",Medium ,2,"https://www.nso.gov.pg/statistics/population/; 

https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-disaster-management-team-flash-update-no-06-7-october-2022; 

https://www.nso.gov.pg/download/77/nso-digital-library/2248/png-national-report-2011-census-2.pdf; 

https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-civil-unrest-emergency-plan-action-epoa-dref-operation-no-mdrpg011; 

https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-humanitarian-needs-and-priorities-aug-2022-may-2023-issued-09-aug-2022",Total population living in the areas considered affected,PNG003People exposed,2024-10-22,Humanitarian development
3707,Highlands Violence,PNG003,Papua New Guinea,People affected,264590,UNCT PNG 09/08/22,Medium ,2,https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-humanitarian-needs-and-priorities-aug-2022-may-2023-issued-09-aug-2022,"According to HNP, Porgera, Laiagam, and Kompiam districts in Enga province; Magarima district in Hela province; and Nipa district in Southern Highlands province are most affected. The HNP estimates that half of the population in these districts are affected. Although the HNP's duration was until May 2023, the highlands have been significantly affected by violence in the affected areas. So, the figure provided by the HNP are still considered for SI.",PNG003People affected,2024-10-22,Humanitarian development
3708,Highlands Violence,PNG003,Papua New Guinea,People displaced,25453,IOM 20/03/2024,Low,3,https://dtm.iom.int/reports/papua-new-guinea-wapenamanda-conflict-rapid-assessment-report-20-march-2024,"The IOM DTM report published in March 2024 showed that around 25,453 people are displaced in the Enga province due to violence and conflict. It is highly likely that other provinces in the Highlands region have IDPs as well. So, it is likely that the displaced figure is an underestimate.",PNG003People displaced,2024-10-22,Humanitarian development
3709,Highlands Violence,PNG003,Papua New Guinea,Injuries reported,x,x,x,x,x,Limited data/information available ,PNG003Injuries reported,2024-10-22,Change in the data/methodology
3710,Highlands Violence,PNG003,Papua New Guinea,Fatalities reported,52,ACLED accessed 21/10/2024,Medium ,2,https://acleddata.com/data-export-tool/,"Number of fatalities in the last 6 months of the affected provinces. Six months previous to the month the severity index (SI) is calculated are considered. For example, for the January 2023 version of SI, months considered will be July 2022 to December 2022.",PNG003Fatalities reported,2024-10-22,Change in the data/methodology
3711,Highlands Violence,PNG003,Papua New Guinea,Fatalities in all crises,52,ACLED accessed 21/10/2024; UNDP 01/08/2024,Medium ,2,"https://acleddata.com/data-export-tool/; 

https://reliefweb.int/report/papua-new-guinea/post-disaster-needs-assessment-report-flooding-western-province-papua-new-guinea-april-july-2024-issued-1-august-2024","Number of fatalities in all crises in the last 6 months. Six months previous to the month the severity index (SI) is calculated are considered. For example, for the January 2023 version of SI, months considered will be July 2022 to December 2022.",PNG003Fatalities in all crises,2024-10-22,Change in the data/methodology
3712,Highlands Violence,PNG003,Papua New Guinea,People in Need,25453,UNCT PNG 10/10/22; IOM 19/12/22; IOM 20/03/2024,Low,3,"https://reliefweb.int/report/papua-new-guinea/papua-new-guinea-highlands-violence-humanitarian-needs-and-priorities-aug-2022-may-2023-issued-09-aug-2022

https://dtm.iom.int/reports/papua-new-guinea-rapid-assesment-report-displacements-highlands-region-oct-nov-2022?close=true

https://dtm.iom.int/reports/papua-new-guinea-wapenamanda-conflict-rapid-assessment-report-20-march-2024","The number of displaced people in considered as the number of people in need.  Displaced people tend to flee to other communities in and outside the respective provinces or to neighbouring mountains.They usually face the following isues:
- Lack of resources of the displaced.
- General lack of coping capacity and high vulnerability
- Displacement sites such as churches were struggling to meet the basic needs and health care for the displaced.
- Humanitarian access to displaced is very low.
- Being displaced for a long term. ",PNG003People in Need,2024-10-22,Change in the data/methodology
